Title,Year,Album debut,Duration,Other releases,Single A side,Single B side,Single certification,Genre,Styles,Themes,Moods,Songwriter,Lead vocal,Cover,Covered by,Chart position UK Wikipedia,Chart position US Wikipedia,Highest position The Guardian,Weeks on chart in UK The Guardian,Weeks at No1 in UK The Guardian,Highest position Billboard,Weeks at No1 Billboard,Top 50 Billboard,Top 50 Ultimate classic rock,Top 50 Rolling Stone,Top 50 NME,Top 50 Top50songs.org,Top 50 USA today 2017,Top 50 Vulture by Bill Wyman
What You're Doing,1964,UK: Beatles for Sale US: Beatles VI,150,8,,,,"Jangle pop, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Merseybeat, Folk-Rock, Psychedelic/Garage","Feeling Blue, Heartache, New Love",Bittersweet Poignant Wistful Reflective Earnest Energetic Lively Plaintive Rambunctious Ramshackle Raucous Urgent Yearning Melancholy,McCartney,McCartney,,,,,,,,,,,,,,,,
What's The New Mary Jane,1968,Anthology 3,372,,,,,"Psychedelic Rock, Musique Concrete, Experimental Music, Outsider Music, Pop/Rock","British Psychedelia, Psychedelic/Garage","Late Night, Maverick, Mischievous, The Creative Side",Atmospheric Dramatic Druggy Eerie Freewheeling Indulgent Irreverent Nocturnal Quirky Silly Spacey Spooky Sprawling Trippy Whimsical Playful Ominous,Lennon,Lennon,,,,,,,,,,,,,,,,
When I Get Home,1964,UK: A Hard Day's Night US: Something New,138,14,,,,"Rock and Roll, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll, Alternative/Indie Rock, Britpop, Club/Dance","In Love, Passion, Relationships, Sex",Bright Energetic Exciting Joyous Rousing Raucous Agreeable Carefree Cheerful Optimistic Positive Swinging,Lennon,Lennon,,1,,,,,,,,,,,,,,
When I'm Sixty-Four,1966,Sgt. Pepper's Lonely Hearts Club Band,157,7,,,,"Music Hall, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, British Psychedelia, Psychedelic/Garage","In Love, Playful",Cheerful Literate Nostalgic Playful Precious Quirky Refined Sophisticated Sweet Theatrical Warm Whimsical Witty Eccentric Fun Happy Irreverent Humorous Ironic Dramatic,McCartney,McCartney,,21,,,,,,,,,,,,,,
While My Guitar Gently Weeps,1968,The Beatles,286,18,"Ob-La-Di, Ob-La-Da",While My Guitar Gently Weeps,,"Rock, Psychedelic Rock, Blues Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage","Feeling Blue, Heartache",Autumnal Brooding Dreamy Ethereal Melancholy Poignant Reflective Trippy Wistful Yearning Atmospheric Bittersweet Enigmatic Hypnotic Eerie Gloomy Plaintive Searching Somber Sophisticated,Harrison,Harrison,,27,,,,,,,,,4,10,8,12,13,32
Why Don't We Do It in the Road?,1968,The Beatles,102,8,,,,"Rock, Blues, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Hard Rock, Blues-Rock",,Brash Bravado Energetic Freewheeling Fun Humorous Irreverent Playful Quirky Rollicking Rousing Silly Sleazy Nocturnal Rebellious Outrageous Trashy Exuberant,McCartney,McCartney,,8,,,,,,,,,,,,,,
Wild Honey Pie,1968,The Beatles,52,7,,,,"Experimental pop, Lo-Fi, Psychedelic Folk, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage",,Freewheeling Humorous Irreverent Playful Quirky Rollicking Silly Unsettling Eerie Trippy,McCartney,McCartney,,2,,,,,,,,,,,,,,
Winston's Walk,1960,,,,,,,,,,,Lennon,N/A,,,,,,,,,,,,,,,,
With a Little Help from My Friends,1967,Sgt. Pepper's Lonely Hearts Club Band,164,6,Sgt. Pepper's Lonely Hearts Club Band / With a Little Help from My Friends,A Day in the Life,,"Pop Rock, Psychedelic Pop, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, British Psychedelia, Psychedelic/Garage, Rock & Roll","Affection/Fondness, Comfort",Amiable/Good-Natured Playful Quirky Sweet Warm Whimsical Earnest Rollicking Summery Fun Ramshackle,Lennon and McCartney,Starkey,,31,63,71,,,,,,,22,,50,23,26,
Within You Without You,1967,Sgt. Pepper's Lonely Hearts Club Band,305,7,,,,"Indian Classical, Raga Rock, Pop/Rock","British Psychedelia, Psychedelic/Garage, Contemporary Pop/Rock","Introspection, Reflection, Solitude",Atmospheric Dramatic Dreamy Enigmatic Searching Spiritual Sprawling Trippy Yearning Ethereal Reflective Spooky Autumnal Complex Meandering Epic,Harrison,Harrison,,9,,,,,,,,,,,,,,
Woman,1965,,145,,,,,"Folk Rock, Pop/Rock",,,,McCartney (as Bernard Webb or A. Smith),McCartney,,,,,,,,,,,,,,,,
Words of Love,1964,UK: Beatles for Sale US: Beatles VI,122,16,,,,Pop/Rock,"British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll",In Love,Intimate Poignant Romantic Soft/Quiet Sweet Delicate Gentle Innocent Sentimental Soothing Earnest Precious,Holly,Lennon and McCartney,Y,,,,,,,,,,,,,,,
Yellow Submarine,1966,Revolver,158,24,Yellow Submarine,Eleanor Rigby,RIAA Gold,"Children's Music, Folk, Pop/Rock","British Invasion, British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic Pop, Psychedelic/Garage","Birthday, Family Gatherings, Playful",Amiable/Good-Natured Carefree Cheerful Fun Giddy Humorous Playful Rousing Silly Whimsical Quirky Freewheeling,McCartney,Starkey,,8,1,2,1,13,4,2,,25,41,,,8,,
Yer Blues,1968,The Beatles,241,11,,,,"Blues Rock, Hard Rock, Pop/Rock","Blues-Rock, British Blues, Contemporary Pop/Rock, Hard Rock, Regional Blues, Rock & Roll, Album Rock","Feeling Blue, Guys Night Out, Late Night",Acerbic Brash Cynical/Sarcastic Freewheeling Ironic Irreverent Messy Nihilistic Nocturnal Ramshackle Rousing Cathartic Raucous Swaggering Visceral Aggressive Angst-Ridden Bravado Fiery Meandering Urgent Volatile,Lennon,Lennon,,6,,,,,,,,,,,,,,
Yes It Is,1965,UK: Rarities US: Beatles VI,161,16,Ticket to Ride,Yes It Is,,Pop/Rock,"British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll","Feeling Blue, Heartache, Jealousy, Regret, Reminiscing",Bittersweet Poignant Reflective Wistful Yearning Autumnal Melancholy Sad Searching Passionate Plaintive,Lennon,"Lennon, McCartney and Harrison",,2,1,46,,,,,,,,,,,,
Yesterday,1965,UK: Help! US: Yesterday and Today,123,33,Yesterday,Act Naturally,RIAA Gold,"Baroque Pop, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Folk-Rock, Psychedelic/Garage, Singer/Songwriter","Breakup, Feeling Blue, Heartache",Bittersweet Earnest Plaintive Poignant Reflective Searching Wistful Yearning Intimate Delicate Melancholy Precious Warm Organic,McCartney,McCartney,,70,8,1,8,7,,1,4,12,12,4,22,3,6,39
You Can't Do That,1964,UK: A Hard Day's Night US: The Beatles Second Album,157,25,Can't Buy Me Love,You Can't Do That,,"Rock and Roll, R&B, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll, Adult Contemporary, Alternative/Indie Rock, Britpop","Awareness, Goodbyes, In Love, Jealousy, Relationships",Acerbic Rollicking Rousing Menacing Swaggering Angry Energetic Raucous Agreeable Bright Carefree Cheerful Lively Optimistic Positive Striding Strong,Lennon,Lennon,,10,1,48,,,,,,,,,,,,
You Know My Name (Look Up the Number),1967,UK: Rarities US: Rarities,261,4,Let It Be,You Know My Name (Look Up the Number),RIAA 2xPlatinum,"Comedy Rock, Jazz, Experimental Rock, Avant-Garde, Novelty, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Comedy Rock","Mischievous, Playful, In Love, Passion, Starting Out, Yearning",Campy Fractured Freewheeling Humorous Irreverent Meandering Messy Playful Quirky Rollicking Silly Cheerful Ramshackle Fun Whimsical,"Lennon, with McCartney",Lennon and McCartney,,1,2,,,,,,,,,,,,,
You Know What to Do,1964,Anthology 1,119,,,,,Pop/Rock,,,,Harrison,Harrison,,,,,,,,,,,,,,,,
You Like Me Too Much,1965,UK: Help! US: Beatles VI,155,12,,,,Pop/Rock,"British Invasion, Contemporary Pop/Rock, Early Pop/Rock",In Love,Bright Cheerful Rollicking Fun Freewheeling Playful Carefree,Harrison,Harrison,,,,,,,,,,,,,,,,
You Never Give Me Your Money,1969,Abbey Road,242,7,,,,"Rock, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Prog-Rock, Rock & Roll",The Creative Side,Atmospheric Elaborate Freewheeling Irreverent Lush Playful Rousing Swaggering Theatrical Whimsical Complex Fractured Indulgent Rollicking Quirky Brassy Energetic Bittersweet,McCartney,McCartney,,6,,,,,,,,,,,,,,
You Won't See Me,1965,Rubber Soul,202,11,,,,Pop/Rock,"British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll","Breakup, Regret",Bright Rousing Acerbic Bitter Wry Yearning Freewheeling Playful Reflective,McCartney,McCartney,,9,,,,,,,,,,,,,,
You'll Be Mine,1960,Anthology 1,98,,,,,"R&B, Experimental, Pop/Rock",,,,Lennon and McCartney,McCartney,,,,,,,,,,,,,,,,
You're Going to Lose That Girl,1965,Help!,140,6,,,,"Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll",,Bravado Bright Swaggering Rollicking Organic,Lennon,Lennon,,2,,,,,,,,,,27,,,,
You've Got to Hide Your Love Away,1965,Help!,131,12,,,,FolkPop/Rock,"British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Folk-Rock, Psychedelic/Garage","Breakup, Feeling Blue, Heartache, Introspection, Jealousy, Loss/Grief, Regret",Angst-Ridden Autumnal Melancholy Passionate Poignant Sad Searching Wistful Yearning Bittersweet Organic Plaintive Gentle Intimate Reflective Literate Warm Bitter,Lennon,Lennon,,21,,,,,,,,,42,31,49,,37,46
You've Really Got a Hold on Me,1963,UK: With the Beatles US: The Beatles Second Album,182,2,,,,"Soul, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll",In Love,Earnest Passionate Poignant Rousing Yearning Warm Sweet,Robinson,Lennon and Harrison,Y,,,,,,,,,,,,,,,
Young Blood,1963,Live at the BBC,116,,,,,Pop/Rock,"British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Day Driving, Hanging Out, Small Gathering",Amiable/Good-Natured Bright Fun Bravado Energetic Freewheeling Rollicking Summery Swaggering Yearning Lively Whimsical Light Sparkling Confident Witty,"Leiber, Stoller",Harrison,Y,,,,,,,,,,,,,,,
Your Mother Should Know,1967,Magical Mystery Tour,149,13,,,,"Music Hall, Vaudeville Rock, Psychedelic Pop, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage",,Carefree Nostalgic Playful Precious Quirky Refined Soothing Theatrical Whimsical Amiable/Good-Natured Fun Sweet Cheerful Sophisticated Sparkling Stylish Dreamy,McCartney,McCartney,,1,,,,,,,,,,,,,,
